,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientID,RecipientCondition,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
0,Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,RecipientID,RecipientCondition,User Language,The system allows me to have a better understanding of my previous revision efforts.,I find the system easy to use.,My interaction with the system is clear and understandable.,The system helps me to recognize the weakness of my essay.,The system encourages me to make more revisions (quantity) than I usually do.,The system encourages me to make more meaningful revisions (quality) than I usually do.,Overall the system is helpful to my writing.,I put a lot of effort into writing and revising this essay.,How could the system be more helpful?,What led you to notice that some parts of your essay needed to be revised?,Was this revision process similar to how you normally revise your essays?
3,4/19/18 16:18,4/19/18 16:21,100,208,TRUE,4/19/18 16:21,R_2PjUbsCn0hw79C5,2018argrewrite_1,A,EN,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,"Overall I would say this system was helpful and forced me to pay more attention to detail on the content and grammar of my writing as I typically will not make so many drafts. Personally, I did not feel like I was provided a whole lot of feedback or direction to write so I felt that my revisions were more limited than they otherwise may have been.",The only weakness really discussed in feedback was the suggestion of a stronger thesis. In revising my essays again I was also able to detect more grammatical errors.,Not typically as I often at most make one draft and then work off that. This was a more structured approach that I believe would be helpful if one is willing to put in the time.
4,4/26/18 15:03,4/26/18 15:16,100,793,TRUE,4/26/18 15:16,R_3C7JhGpGPZaJa7L,2018argrewrite_6,A,EN,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,"It would be more helpful if the system could provide feedback. Right now, it's no different than just having multiple documents open at once. It would be hard for a computer system to provide global feedback on organization, but it could perhaps be trained to find contrast words which are indicators of the inclusion of multiple points of view, and if there isn't a contrast word, it could alert the writer that they should consider including one. Transition in general could be checked to ensure organization. On a more line level, the system could check for overused language.","My experience led me to notice what needed to be revised. I am a professional writer, so I know what to look for even if I don't always execute as well as I could. Also, before doing the second draft, the feedback was good although I had already been aware of it. It was all the same feedback I would have provided to one of my students and I thought it was useful. Nothing about the system for the third revision was helpful.","No. I start with a blank screen so that I am not ""thinking inside the box."" Each time I begin, I write with better structure and focus. To write over on top of text keeps from seeing how the organization could be shifted and leads to less meaningful revision."
5,5/8/18 13:56,5/8/18 13:58,100,119,TRUE,5/8/18 13:58,R_3qkEyuF5VHuKxBm,2018argrewrite_8,A,EN,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,"Word Suggestions, implementation similar to Grammarly ","Sentence structure, feedback provided by the system.","Yes, almost 90% similar to the actually process."
6,5/17/18 12:25,5/17/18 12:31,100,354,TRUE,5/17/18 12:31,R_33BlRJOATT2ylgQ,2018argrewrite_11,A,EN,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,The system can be more helpful on providing an analysis on the Second and third essay revision.,"After I had peer edited my second essay I had noticed a few misspelled words, incorrect pronunciations, and several sentences and statements which were unclear.","YES, because it all involves some peer-editing."
7,5/30/18 8:08,5/30/18 8:11,100,184,TRUE,5/30/18 8:11,R_3FIFr5rnBJNjkMH,2018argrewrite_19,A,EN,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Perhaps adding a spell / grammar check option would be helpful. Providing concrete feedback on the strengths and weaknesses of the writing would also be helpful but I'm not sure how that could be incorporated into a computer program. ,Re-reading and seeing what parts of the essay needed more clarification or more fleshing out. I enjoyed being able to go all the way back to the first draft and comparing the two essays; I could tell that the substance of my writing improved. ,Yes - normally I'll read over what I've written section by section and make corrections or additions as I go. 
8,6/5/18 13:21,6/5/18 13:23,100,124,TRUE,6/5/18 13:23,R_2YfUqEnp9YFEVL6,2018argrewrite_18,A,EN,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,,the criticism did help,i usually write a rough draft but i did not in this process
9,6/12/18 12:27,6/12/18 12:31,100,271,TRUE,6/12/18 12:31,R_10TLSpuKGyVyHqj,2018argrewrite_26,A,EN,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,If it allowed for comments either by me or a reviewer,I reread it from the audience's point of view and realized some sentences could be reworded better. Also the prompt said that the essay should be grammatically correct so each time I reviewed I tried to find any grammatical errors,"Usually when I revise, I have a family member or faculty adviser look it over and give me comments and then I revise the essay accordingly, so in that sense it was similar. However usually I do not put that much attention on the previous drafts of the essay, I change one draft and get rid of the old, so in that sense it was different."
10,6/26/18 14:16,6/26/18 14:26,100,606,TRUE,6/26/18 14:26,R_2ZIzXnSBWA0Gk9p,2018argrewrite_35,A,EN,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,I'd like to be able to highlight parts of the essay to come back to revise later.,Rereading the second draft several times helped me notice typos and other problems in my writing.,"Yes, I usually keep my older drafts and revise the newest one."
11,9/25/18 16:09,9/25/18 16:14,100,266,TRUE,9/25/18 16:14,R_2e4JQ1Qv0myx34c,2018argrewrite_40,A,EN,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,"If the system had more highlighting regarding grammatical errors, I think the system would be excellent in that regard. The fact that spelling errors were caught was helpful however.",I don't think any part of the system really contributed to me thinking that my essays needed revision. I just read through the essay again (as I normally do) and changed whichever parts I believed needed changing.,"To some degree, yes. I don't rigidly stick to three revisions, as it depends on the importance of the paper and how happy I am with the initial drafts, but I do reread all of my previous drafts and try and craft a new one from the best parts of my previous drafts."
