,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,RecipientID,RecipientCondition,DistributionChannel,UserLanguage,Q2,Q10,Q11,Q12,Q13,Q15,Q16,Q20,Q17,Q18,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q37,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Q38,Q8,Q9 - Topics
,StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,RecipientID,RecipientCondition,DistributionChannel,UserLanguage,"VOLUNTARY CONSENT

 

The above information has been explained to me and all of my current questions have been answered. I understand that I am encouraged to ask questions about any aspect of this research study during the course of this study, and that such future questions will be answered by a qualified individual or by the investigator(s) listed on the first page of this consent document at the telephone number(s) given. I understand that I may always request that my questions, concerns or complaints be addressed by a listed investigator.

 

I understand that I may contact the Human Subjects Protection Advocate of the IRB Office, University of Pittsburgh (1-866-212-2668) to discuss problems, concerns, and questions; obtain information; offer input; or discuss situations that have occurred during my participation.

 

By checking the “Agree” box below, I agree to participate in this research study.",Are you an undergraduate or graduate student?,What is your current year of study?,Is English your native language?,What is your native language?,"When writing an essay/paper for a class, how many drafts (that are not required by the class) do you typically write?","Overall, how confident are you with your writing?",Please tell us how comfortable you feel about writing in the English language versus writing in your primary language.,What aspects of writing do you think you are good at?[Click all that apply],What aspects of writing do you think you can improve?[Click all that apply],"I typically set aside routine, planned times to complete writing tasks.",I typically create an outline of my writing before I begin any writing task.,I typically seek out feedback from others on my writing.,I typically plan time for multiple revisions of my writing.,I typically set revision goals for myself to meet the requirements of a writing task.,The revision goals I set for myself focus mostly on developing the content or thesis.,"The revision goals I set for myself focus mostly on surface level changes (e.g. grammar, spelling, organization and word clarity).","While I’m revising, I typically look back at or think about my previous draft(s) to refine my essay.","While I’m revising, I typically look back at or think about feedback from others to refine my essay.","While I’m revising, I typically think about the reader's expectations.","While I’m revising, I typically address grammatical errors.","While I’m revising, I typically try to develop the content or thesis.","When I make a revision, I reread the sentence, paragraph, or whole essay to see whether my revision improved the essay.",I can meet the requirements of a writing task without revising.,I am confident in my writing and revising abilities.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Enter your answer for Step 2:

 

Number of words:",Q8,Q9 - Topics
12,4/11/2018 4:38,4/11/2018 6:00,100,4938,TRUE,4/11/2018 6:01,2018argrewrite_1,A,email,EN,I agree,Graduate student,2nd year,Yes,,1,Confident,,"Strong ideas,Good evidence,Strong explanations","Writing organization,Correct grammar,Staying focused on my main idea,Strong thesis",Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,24.941,2516.112,2517.379,32,"Pro: There is the argument that a computer makes a better motorist than an actual human. Since 81 percent of accidents are result of human error it puts into perspective the potential savings on accidents when self-driving cars are adopted. Certainly we may see the number of accidents due to self-driving cars rise as they are more widely adopted, however what is important is this number relative to the number of accidents saved by removing the distracted driver. As we continue to develop the technology we should expect the errors to reduce whereas we don't necessarily see drivers improve over time.
Con: Many individuals are resistant to allowing the car to take over and putting themselves at danger for risks they cannot control. I felt this was an interesting point to bring up as it highlights a main issue with many drivers of the loss of autonomy when fully adopting self-driving cars. Many people do enjoy the act of driving but even more so the responsibility of making their own choices behind the wheel. Yes people still get in accidents often from their own error but it seems inherently worse when they are injured without the opportunity to counteract.   ","The topic of self-driving cars is highly debated especially in light of recent event with the death of an Arizona woman at the hands of a self-driving Uber. Those for self-driving cars argue that they reduce the rate of accidents as a result of distracted drivers, improve traffic flow, are cost saving in terms of time and monetary value from insurance, and could allow greater access to transportation for the disabled and elderly. Those against self-driving cars argue the system does not eliminate accidents, that there is a learning curve with the technology, that it would take away profit from other sectors of the economy, and that there are instances in which the technology is not equipped to make a decision. While both sides make valid points, the benefits of adopting a system of self-driving cars rises to the forefront. 

Many people are quick to point out the flaws in self-driving cars but it is still in its infancy and has the ability to develop and improve with time whereas we have not seen that in human motorists over the years. Certainly we may expect the number of accidents by self-driving cars to rise as it is more widely adopted but this number palls in comparison to the number of accidents caused by drivers. Tragedies such as those in Arizona should not happen but unfortunately with nearly 1.3 million people dying in motor vehicle accidents a year and 81 percent of accidents being the result of human error it appears the main culprit is us. As humans we already rely on computers and technology for many daily tasks and self-driving cars are an extension of the innovative mindset our tech fields have embraced. 

Those against also argue that investing in self-driving cars may take away money from other industries and sectors of the economy. Again while self-driving cars may impact the profits of other transportation system, overall the profits from developing and implementing this technology will outweigh the losses. There is a reason many people invest in tech companies as the have become more profitable in the 21st century. Especially with the start-up of new technology, as they industry grows this will demand that more and more jobs be created to replace the ones lost. Also, savings in terms of reduced accidents are astronomical. The U.S. Department of Transportation has assigned a value of 9.2 million for each human life, with savings coming from venues such as healthcare and insurance. There is also the argument that self-driving cars may also save you time as they free up your transportation time to attend to other daily tasks when you do not have to focus on the driving. With more efficient driving the self-driving cars have the potential to decrease driving time and traffic as well.

Though people are still resistant to the idea of self-driving cars it is already in ways being implemented into our driving with features such as autonomous braking, self-parking and sensor detectors. The technology for this field is currently available and calls on our investment to develop and improve. While no system is perfect, one that saves us lives and on costs should be highly considered. 
",
13,4/14/2018 21:24,4/14/2018 22:38,100,4396,TRUE,4/14/2018 22:38,2018argrewrite_2,B,email,EN,I agree,Graduate student,5th year or above,No,Vietnamese,3,Not very confident,Somewhat uncomfortable,,"Vocabulary choice,Sentence structure,Correct grammar,Strong explanations,Clear explanation of my ideas",Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,16.983,2665.092,2953.327,43,"Pro: ""Disabled individuals, who have to rely on public transportation or assistance from others to get around, could reap the benefits of selfdriving cars with new freedom and enhanced mobility, as suggested by the New York Times."". This point shows a real revolution in human transportation as everyone will have an opportunity to reach their destinations in almost any conditions. As the self-driving cars can give more freedom to human, I believe this technology will be accepted soon.
Con: ""A self-driving car doesn't completely eliminate the likelihood of a car accident. In fact, there's no legal precedent for how a case would be handled. The difficult question of who holds responsibility in a car accident- the driver? The car manufacturer? The software developer? Could be tricky to answer."". The technology shows a challenge to lawmakers in all societies when it relates to human's lives. I think this problem need to be solved before self-driving cars can be deployed in mass.","Self-driving car is a new technology and receives a lot of debates recently. On one hand, self-driving cars offer positive impacts, e.g. safer commuting, cost savings, and give opportunities to many people who can't travel by themselves at this moment. On the other hand, people also raise concerns about the security, safety, and economy of the technology.
In my opinion, I support bringing self-driving cars into reality. The technology can bring many benefits to humanity. First, we, as human in modern societies, will save a lot of money thanks to the technology. Because when a lot of self-driving cars are on the street and they can communicate with each other, they can reduce the problem with congestion or unknown traffic conditions. Second, self-driving cars are supposed to be more safety because it can eliminate mistakes made by a human. The most common mistake is driving under the influence (of alcohol, drugs, or tireness). Moreover, drivers tend to have false confidence as they have more driving hours. This false confidence will increase the chances that an accident will happen. Last but not least, self-driving cars put an equity for people having difficulties in traveling, such as old people or disabilities. While public transportations are available in all cities, in many cases, they can only take a person to a pre-designated location (stop) rather than the real destination. Public transportations are operated with a fixed schedule which does not perfectly match everyone's situations. 
The cons about self-driving cars could be categorized into two groups: not-ready and not-true. The not-ready group contains arguments about new challenges that the technology will bring in when it is deployed in mass. For example, when an accident is made by a self-driving car, who will hold the responsibility? Or security issues such as how can drivers protect their personal data and what will happen if the car is hijacked by a hi-tech criminal? Interestingly, what would the car-makers or software designers choose in moral-sensitive situations? For example, given an unavoidable accident will happen, which will either kill an old pedestrian crossing the street or a baby in a stroller on the pavement, which choice should be made by the self-driving car? These issues must be addressed or disclosed before deploying self-driving cars in the mass. The not-true group consists of false assumptions about the self-driving technology. For example, there are concerns about drivers are no longer equipped with the skills to operate cars. In fact, we are living well in a society without knowing much about our daily stuffs. I don't know anything about fixing a car, but I can always call AAA or my friends whenever my car breaking down. I use the washing machine at least twice a week without knowing how to make such a machine. Another false opinion is the difference between states regarding turning right on red or cars cannot interpret police officers' signals when directing traffics. In fact, the car can update its algorithm according to the state it is traveling simply based on GPS signal. Moreover, when all cars on the streets are self-driving cars, the police officer does not need to go down the street and directs the traffic but just sends information to the car through a communication channel, e.g. 3G or wifi. Last but not least, some people even afraid that auto manufacturers might sell fewer cars. This is not true as a self-driving car is still a car which needs a manufacturer. In fact, we have seen more and more car manufacturers join the self-driving race nowadays, such as Volvo, BMW, Toyota, Honda, and many more.
In conclusion, I think self-driving car is a revolution that will have more benefit to our society. However, there are still some concerns needed to be addressed in order to make this technology available to everyone.",
14,4/15/2018 11:32,4/15/2018 13:07,100,5746,TRUE,4/15/2018 13:07,2018argrewrite_3,B,email,EN,I agree,Other,,Yes,,1,Very confident,,"Strong ideas,Vocabulary choice,Good evidence,Strong explanations,Staying focused on my main idea,Clear explanations of my ideas,Strong thesis","Writing organization,Sentence structure,Correct grammar",Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,,,Strongly disagree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Neither agree nor disagree,9.588,3547.574,3552.194,148,"Pro #1: Human error on the part of the driver is perhaps the clearest issue with our current situation. The errors come from a wide array of distractions, poor decisions, and oversights. A computer can be designed so as to limit or remove many of these negative factors and minimize the crashes due to error. The point is interesting to me because it appeals directly to the intuition that minimizing harm is, all things equal, an admirable goal.

Con#6: Many people are employed in transportation industries which rely on their driving ability. If a cheaper, faster, and more effective computer was designed, it would likely displace all of these human jobs, leaving many unemployed. This point is interesting to me because it represents a problem which only worsens as the self-driving cars improve and constitutes a real threat to a large number of people.","Self-driving cars, though only recently becoming a technological feasibility, have advanced rapidly in their short time of development and have thoroughly captured the public eye. The debate on their fitness to our automotive environment and on their desirableness to our society as a whole is raging onward with impassioned argument on both sides. In this essay I will aim to provide convincing evidence that though it is not perfect, the prospect of driver-less roads would mark a definitive improvement over our current conditions. 

To start with, consider the fallibility of human drivers. On a regular basis we turn on our engines without sufficient sleep, absentmindedly forget to check blind-spots, and allow our attention to be torn from the road by the slightest of mobile vibrations. With an estimated 33,000 annual fatal accidents and overwhelming evidence that human error accounts for a significant number of these it seems incontrovertible that we should do better. Although it is not yet certain that self-driving cars in their current condition would cause that number to go down, the lack of human fallibility makes the prospect seem likely. Furthermore, whereas human driver tend to fall into a lull of false confidence when they have engaged in a task for an extended period of time, self-driving cars can be designed to improve and become more safe over time. There is no distraction, no sleep deprivation, no intoxication, and no frantic concern for being late to take a self-driving car away from the task of safely getting from point A to point B. 

Furthermore, self-driving cars could give society a method of transportation which is much less restrictive. Currently, driving privileges are limited to those capable of operating the machinery, passing their test, and -for the most part - affording to own their own vehicle. If a child needs to be transported to any sort of extracurricular event they are bound by their parents' schedules and mobilities. If a senior citizen who has been deemed unsafe to drive decides to go shopping they must wait for long periods to use public transportation with conditions that could be extremely painful or uncomfortable with those who experience chronic pain from arthritis or similar conditions. Furthermore, many who cannot afford their own car are forced to commute long distances to their jobs, health-care, and programs, forcing a de facto restriction on who may access what. Although it is likely that one who cannot afford a regular car could not afford their own self-driving car, there is nothing to say that they must have their own. The ability to have a car drive back to the place it left from could allow a much more intricate form of car sharing; additionally, the current restrictions on insured drivers that hassle any type of shared vehicle would likely be thoroughly relaxed or missing entirely for a driver-less car. Even beyond the prospect of shared cars, self-driving vehicles could revolutionize public transportation, making a wider range of pick up locations and drop off locations feasible. If large buses or a huge fleet of public cars were to have flexible routes that could give people who do not have the means to own their own car a transportational freedom akin to it at a fraction of the price that services like Uber and Lift offer today. 

A society which supports self-driving cars would certainly look different from ours. How we implement them will determine much of their success and failure. For that reason it is not a guaranteed success, however, looking at the massive limitations and problems with our current system, it does not seem to be a stretch to claim that this could bring us dramatic improvements.",
15,4/17/2018 11:48,4/17/2018 13:42,100,6811,TRUE,4/17/2018 13:42,2018argrewrite_4,B,email,EN,I agree,Graduate student,5th year or above,Yes,,3,Extremely confident,,"Writing organization,Strong ideas,Vocabulary choice,Sentence structure,Good evidence,Correct grammar,Strong explanations,Staying focused on my main idea,Clear explanations of my ideas,Strong thesis",Vocabulary choice,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,11.263,4125.715,4130.851,9,"Pro #7 suggests that self-driving cars will be able to group together and thereby reduce traffic, drive times, and carbon emissions produced by idling vehicles. I find this to be a solid prospect for the millions of stressed out drivers who sit in rush hour traffic twice a day and appreciate the added boon for the environment.

Con #7 asks who is responsible when technology fails. This is an essential question, because, in a just society, there must be accountability for the failure and justice for the injured party. However, determining fault may be extremely difficult. 
","	There are many advantages for the United States to transition to self-driving cars. The primary benefit is simply the amount of lives saved due to the elimination of intoxicated, distracted, or otherwise dangerous drivers. Computers provide a precise, safe alternative to the potential for human error that occurs each time a driver gets behind the wheel. In addition, self-driving cars can save money on insurance costs and outdated infrastructure, decrease traffic, and are actually better for the environment.  However, some limitations to self-driving cars exist. These include a difficult transition to using these vehicles, cost, the failure of technology, and the potential for job loss and decline of certain industries.
	Frequently, we hear arguments for or against something with the justification that it benefits or does not benefit society.  In order to make an argument for either one of these, it is imperative that we consider the following questions: who is society, what is good for society, what does society need, and at what expense to the individual do we support the public good?
	In this case, the answer to these questions is easy. Anything that has the potential to save human lives is both good for the individual and good for society. Despite the limitations in technology, an initial cost, and a likely challenging transition, self-driving cars are the future, and they will save lives. No other benefit matters. No other limitation should stop us.  
America has a serious, dangerous driving problem. Every year, 33,000 people die in automobile accidents, and most of these deaths should have been prevented because the drivers were distracted, drunk, tired, or simply should not have been driving.  
If that statistic is not sobering enough, consider this. Vehicular accidents are also the number one cause of death for teenagers, again, the majority of which are preventable.  We know from cognitive scientists and psychologists that teenagers are more likely to engage in risky behavior—like dangerous, drunk, or otherwise impaired driving—and, while getting a driver’s license has been a rite-of-passage for a century in America, it’s time to stop the senseless destruction car accidents cause.
Interestingly enough, the Department of Transportation calculated that each person is worth $9.2 million. Like so many things, the government got this one wrong as well. A human life is priceless. Nothing can bring back a loved one who has been killed.
If you have reservations about self-driving cars due of the potential for technological failure, I share them with you. Just this past month, a self-driving car being tested in Arizona turned a corner, struck, and killed a woman who was crossing the street outside of a crosswalk. We have not perfected this technology. We have miles to go before it can be implemented on any kind of large scale. We have many ethical, legal, and policy considerations and implications to work through. However, we have the opportunity to save countless lives. We have the opportunity to save countless others from debilitating injury. We have the obligation to use technology the way it’s always been used—to benefit our society and improve the lives of all Americans.   
",
16,4/18/2018 17:04,4/18/2018 18:26,100,4924,TRUE,4/18/2018 18:26,2018argrewrite_5,C,email,EN,I agree,Undergraduate student,3rd year,Yes,,3,Confident,,"Vocabulary choice,Sentence structure,Good evidence,Correct grammar","Writing organization,Staying focused on my main idea,Clear explanation of my ideas,Strong thesis",Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,24.226,77.429,83.828,12,"After reading the provided materials, I had a better understanding of what a self-driving car is and how they work. In the list of pros, I agree that self-driving cars can be a benefit to society. Most importantly, parking would improve as there would be less human error and the computer system can find available parking spaces using a GPS system. However, there will still be cons when thinking about self-driving cars as they cannot completely eliminate car accidents. If anything, a car accident involving two self-driving cars would be more of a hassle to settle since the drivers are not at fault and neither are the two cars. ","When Back to the Future I and II were released in the 80's, many people were captivated by the technology showed throughout the films. Even though technology has greatly advanced within the last decade, it still has not reached the status of flying cars and floating hover boards. As we inch closer to 2020, the idea of having such technology does not seem impossible anymore. Olivier Garret stated in a Forbes article that he believed 10 million self-driving cars will be on the road by 2020, and one out of four cars will be self-driving by 2030. Although Back to the Future II predicted cars flying in 2015, the estimate of 2020 for self-driving cars is not that far off. 

Within the past year, companies like Ford, Honda, BMW and Tesla are few among the many automakers that are pushing for self-driving technology. This makes complete sense as technology is on an increasing incline forwards and will continue to do so as long as there is a need for it. Since the idea of self-driving cars is new and there has not been a ton of research on it, it is important to understand the advantages and disadvantages before getting into an autonomous vehicle. 

Listed here are the highlights of a self-driving car: human error is reduced due to the machine abiding by rules of the state, drivers will no longer be distracted and will be able to multi-task better instead, and transportation overall will be more efficient. Being a supporter of technology and fighting for new innovations, the advantages of a self-driving car outweighs the disadvantages in my opinion. Technological advances are occurring at such a fast pace that automobiles need to adapt and keep up. It is understandable that people are hesitant to this idea, as there are some major concerns that need to be addressed before being implemented. 

Jobs such as driver's ed instructors, DMV tellers and employees of companies like Uber and Lyft, will definitely suffer. As self-driving cars increase, the demand for their jobs will decrease and the unemployment rate will rise. Although this is an important concern, technology failure (i.e. glitches), would be an even greater concern. Accidents could be more fatal and insurance rates might increase to account for that. It would not be surprising if insurance companies created more ""necessary"" packages of coverage for autonomous cars. Instead of purchasing the normal auto insurance, there would be a greater domain for insurance companies to charge for and the limit for them would be endless. Auto insurance companies take tons of money anyway, what is another $200-300 per month? 

Overall, self-driving cars are infiltrating our society at a rather rapid rate. There are many positives and negatives about this advancement, yet there is still a need for more research and answers. As someone who personally hates driving and fears being in an accident, I will gladly take a self-driving car over a regular car any day.",
17,4/19/2018 20:16,4/19/2018 21:05,100,2949,TRUE,4/19/2018 21:05,2018argrewrite_6,A,email,EN,I agree,Graduate student,1st year,Yes,,4,Very confident,,"Writing organization,Sentence structure,Good evidence,Correct grammar,Strong explanations,Clear explanations of my ideas","Strong ideas,Vocabulary choice,Staying focused on my main idea,Strong thesis",Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,8.161,1613.111,1863.082,22,"I found the pro of disabled and elderly people being able to move more freely to be interesting. Even in cities with great public transportation, it continues to be difficult for the disabled to get from point A to point B.

The ability for a car to be hacked is a relevant concern, especially after Atlanta's city government was recently hacked and the city had to go analog. Hacking cars could become a weapon of terrorism and the cars would need the highest level security to keep hackers out.","Self-driving cars are here. They have been piloted in Silicone Valley, San Francisco, New Mexico, Pittsburgh, Moscow, and other places. However, although the technology is here, they are not yet a part of people's lives. The cars are not yet able to drive in all weather conditions or handle anomalous traffic events, like if a storm knocks out traffic lights. Despite these ongoing hurdles self-driving cars have yet to overcome, the training of their neural networks pushes forward because once the technology can be implemented, the cars can solve real-world problems. The cars can make it safe for people with disabilities to run errands without needing to call a friend or a cab. They will reduce the number of traffic fatalities, especially those caused by driver inattention or inebriation. There are plenty of valid concerns about rolling self-driving cars into the market today but tomorrow is another story. Their use will ultimately benefit their passengers and the environment by creating a safer world.

The world is on the brink of environmental disaster. Irreparable damage has already be done, but further harm can be minimized through the advancement of many technologies, self-driving cars are one. Beyond the greater fuel efficiency self-driving cars provide, there is one feature that people do not often consider. Self-driving cars do not need to be owned by an individual. They can be owned by company, such as Zip Car or Uber. Consumers can pay these companies a monthly fee to have a car available to them whenever they need it and they can also opt in to a car pool so that the car picks up others going to the same place they are. Many people drive a car to work and home again, but they do not use the car throughout the day and they certainly don't use it while they are asleep. During times of non-use, the car could be picking up other riders. This would reduce the number of cars on the road, parked on the sides of streets, and adding to the carbon footprint.

There are valid concerns to this. People worry about the loss of jobs associated with self-driving cars as taxi drivers and truck drivers may become a job of the past. However, the job market is constantly evolving. It was not long ago when cars did not exist, ergo these jobs did not exist. The future will bring new fields for people to work in and new streams of revenue. Change is daunting, and many people are nervous about how a world with self-driving cars will function, but there is no question that it will function. People will adapt, as they did to the actual process of driving cars, and the world will be safer for it. ",
19,4/28/2018 19:21,4/28/2018 20:07,100,2742,TRUE,4/28/2018 20:07,2018argrewrite_8,A,email,EN,I agree,Graduate student,1st year,No,Hindi,2,Very confident,Extremely comfortable,"Writing organization,Strong ideas,Correct grammar,Staying focused on my main idea,Clear explanations of my ideas","Vocabulary choice,Sentence structure",Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,,,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Strongly agree,13.322,2492.622,2497.932,12,"Self Driving cars are the panache of human intellect and capability to make use of technology to best use. I have always been a strong advocate of advancement of technology and have been a passionate driver. When I started driving at an early age of 15-16, it was the curiosity to control a machine, which motivated me to be a quick learner.With growing research in self-driving cars, I feel that human control to the machine is somewhat lost, in my personal opinion, self-driving cars tend to take away that ultimate control of your hands. Though technology can be considered relatively secure, as a human, I feel that lack of control takes the charm away and can also sometimes lead to problems where the path for the self driving car is not perfectly defined.","The growth of technology and machines has been at its panache in the 21st century. Humans have found a way to automate every possible task using the availability of high computing power and highly sophisticated algorithms. Driving has been a passion for some and mundane task for others but it has been an important skill for some time now. In recent time, we have also seen improvement in road infrastructure and that has reduced the overall effort required in driving. Self-Driving cars can eliminate that mundane job which we need to do compute on daily basis. Such technology can help reduce the effort for taxi drivers for whom this more like a job than a passion or a choice. Though I strongly advocate the research in this area, I do not strongly agree with the implementation of self-driving vehicles.
Most of us millennials like me started driving at an early age, growing worldwide economy can cheaper cars have helped the gap and luxury to drive a car in recent time. Self-driving cars which can drastically reduce the effort required in driving can be beneficial to some but redundant to others. Born and raised in foothills of the great Himalayas, we never had the luxury of best of the infrastructure and road. Deadly Himalayan curves required a lot of concentration in driving, it has been always been a challenge and will remain so to drive in such remote areas. Self-driving cars have been tested and performed exceptionally well in the United States, the country known for its infrastructure and cars which are a symbol of personal freedom. The United States as per my understanding cannot be the ultimate testing ground for self-driving cars. The success of self-driving cars currently relies on accurate mapping systems through GPS and such accuracy is not yet available at every location possible. GPS are not very reliable to weather conditions and that indirectly relates to self-driving cars. Such technology relies heavily on the field known as machine learning and algorithms used to train such cars can still not give 100% accuracy and that can lead to major concerns in unwanted scenarios.
Another major concern involving self-driving cars is that we still need humans who are capable to operate sophisticated technology.  Many individuals are still reluctant to use technology at its best and that is true for many people in the middle age and old age.  Such nervousness to operate technology and hesitance to give control to a machine can lead to malfunction and can put the driver into the more dangerous situation.Even if we remove, above concerns, the cost involved in such implementation on large scale is tremendous and somewhat financially not feasible. The cost involved in implementation, the perfect road infrastructure surpass the expected utility of the complete program. 
Reduction in overall accidents, for which self-driving cars have been praised has been somewhat skeptical in recent times. We have seen many cases where self-driving cars have been part of accidents and they do not completely eliminate the problem. A simple malfunction in the machine can lead to major issues and it can be somewhat difficult for the human operator to understand the issue and can lead to major accidents within seconds due to lack of manual control. Himalayan roads where the driver has to showcase full concentration at every curve can turn out to be deadly for self-driving cars in case of any malfunction.
In conclusion, self-driving vehicles is a great idea but are limited to multiple constraints like civil infrastructure, GPS availability, weather conditions, finances, and costs. Such implementation is not a very feasible idea the grand scale but can be used where we can easily meet all the constraints.
",
20,4/30/2018 6:34,4/30/2018 7:39,100,3935,TRUE,4/30/2018 7:39,2018argrewrite_9,B,email,EN,I agree,Undergraduate student,2nd year,Yes,,1,Confident,,"Vocabulary choice,Correct grammar,Strong explanations,Staying focused on my main idea","Writing organization,Good evidence,Clear explanation of my ideas,Strong thesis",Disagree,Agree,Agree,Disagree,Neither agree nor disagree,,,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,9.708,551.686,554.066,38,"Drivers that display bad conduct while operating vehicles accounts for 81 percent of car crashes. Having a computer behind the helm would reduce these instances as they do not possess the ability to be distracted. Although there are positive outcomes from obtaining a self-driving vehicle they are currently not affordable for the majority of Americans. As it currently sits, some of the technology needed to make these vehicles a success costs upwards of $100,000. What can be found of interest through these two facts is that a price can be set on safety.","Self-driving vehicles will decrease fatalities, shave time off commutes, decrease the amount of money being spent on mass transit, and provide more options of transportation for the disabled. At least one of these options directly relates to each, and every person in a given community. Many issues that plague individuals revolve around transportation. From having to wake up earlier in the day because of an increased workload to compensate for traffic, to getting a call that a loved one was in an accident. The increased amount of self-driving vehicles being adopted by consumers will have a positive correlation with the daily lives of those that do not own them. 
	Currently, the U.S. Department of Transportation has assessed the value of a life at $9.2 million. By way of safer roads through self-driving vehicles being more prevalent, because of factors such as the reduction of human error through computers doing the driving, the amount of money being spent by insurance companies will drive down insurance premiums so they can remain competitive. As these vehicles become more common on the roads the cost to purchase them will go down. Companies will find ways to lower costs through more efficient methods of production, and distribution. The savings of money is then passed down to local, and state governments. Less money will have to be spent on methods of mass transit. City buses, and trains maintenance costs will plummet, and those savings are then passed down to the tax paying citizens of the said cities, and states.
	A caveat of self-driving vehicles is the effect that it will have on some employers. The plentiful amount of vehicles which will transport its occupants will decrease the need for public transportation, and taxi services. Though there may be a reduction in those fields of employment other opportunities will undoubtedly be created. An increased need for engineers, auto mechanics, road repairmen/women, and salespeople will have a profound impact on economies.  
       The supporters, and people that oppose of self-driving vehicles both have valid concerns for their positions. But, if there can be a value put on a human life then isn’t there a way that we can save on those costs by mitigating the instances of death? Self-driving vehicles is the way to make that come to fruition. The constant development of safety measures in the autonomous systems will get better as consumers adopt more of the vehicles. Accounts of drunk, tired, and distracted driving will continuously plummet. Therefore, making the roads safer for us all.",
21,4/30/2018 19:56,4/30/2018 21:28,100,5555,TRUE,4/30/2018 21:28,2018argrewrite_10,C,email,EN,I agree,Graduate student,2nd year,Yes,,2,Very confident,,"Writing organization,Strong ideas,Sentence structure,Good evidence,Correct grammar,Strong explanations,Staying focused on my main idea,Clear explanations of my ideas","Vocabulary choice,Strong thesis",Disagree,Disagree,Disagree,Disagree,Disagree,,,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,21.149,2859.021,2860.566,36,"The ""pro"" that I found most interesting stated that, besides just offering greater safety, self driving cars would also allow for other productive activities to be done by the driver during the transit since he or she would not be focused on driving.  I feel that this is one of the largest advantages of self driving vehicles, but that it is consistently overlooked.
 
In my opinion, the most interesting ""con"" listed suggests that people that enjoy driving their current vehicles may not buy into the idea of driverless cars.  This is quite interesting, since without buyin, this movement goes nowhere.
","The article ""Top 20 Pros and Cons Associated With Self-Driving Cars"", provides an in depth look into the reasoning of whether or not we, as a society, should adopt self-driving vehicles.  Of the 20 ""pros"" listed, an increase in safety was likely the leading factor, but also included were the benefits in commute times and city travel, the possibility for the driver to do something productive in the time that would otherwise be used for driving, and the idea that elderly or disabled people would be able to ride self-driving cars without worry.  However, in contrast to the advantages listed in the article, the author also offered 20 disadvantages.  Many of these focused on the training involved in learning how to operate it, the high cost, security issues (both personal and cybersecurity), legal ramifications, the fact that a self-driving vehicle will not be able to appropriately respond to all situations and other technical hangups,and the financial implications caused by uprooting an old industry. 

When weighing the ""pros"" and ""cons"" in order to gauge whether adopting self-driving cars would be beneficial to society, it is important to look at the whole picture.  The ""pros"" are all valid, while it appears that many of the ""cons"" can be addressed as the self-driving vehicles further develop.  For example, the high initial cost is cited as a reason against adopting these vehicles.  However, what isn't taken into consideration in this case is the fact that new technologies typically drastically drop in price over a short amount of time.  We often hear the story of the first computers being the size of an entire room and costing hundreds of thousands of dollars at the time.  However, in a few tens of years the price of those computers came down enough that many families could afford them.  I believe a similar situation could occur with the sensor and computer package required in self-driving vehicles.  As a second example, cybersecurity has become a very hot topic recently and appears in the ""cons"" against these vehicles.  However, several very critical pieces of infrastructure are operated and they have been largely protected against cybersecurity attacks.  Take for example remote controlled drones currently in use by the military.  The risk of a cyber attack is definitely present, but the designers have found a way to adequately protect the devices.  Something similar could be done for self-driving vehicles.

Although several more examples supporting the idea that many of the present ""cons"" seen in self-driving vehicle adoption can be corrected in the future, it is unnecessary seeing that they are quite similar.  However, what is important to notice is that all of the ""pros"" do not seem as if they will be changing, even as the vehicles themselves improve.  Therefore I recommend the gradual adoption of self-driving vehicles into society.     ",
